,title,awards.wins,imdb.rating,id
410,Blossoms in the Dust,0,7.0,409
411,The Spy in Black,1,7.0,410
412,The Devil and Daniel Webster,0,7.8,411
413,Kitty Foyle,0,7.1,412
414,Dumbo,3,7.3,413
416,The Land,1,7.3,414
417,The White Ship,1,6.0,415
418,Algiers,5,6.9,416
419,Sweethearts,4,6.5,417
420,The Mikado,0,6.7,418
421,Knute Rockne All American,1,6.8,419
422,Here Comes Mr. Jordan,4,7.7,420
423,How Green Was My Valley,11,7.8,421
424,Hold Back the Dawn,7,7.6,422
425,In Old Chicago,0,6.9,423
426,The Cowboy and the Lady,0,6.7,424
427,Marked Woman,1,7.4,425
428,The Life of Emile Zola,7,7.3,426
429,Snow White and the Seven Dwarfs,12,7.7,427
430,Dance Program,3,7.4,428
431,The Stars Look Down,1,7.2,429
432,The Bank Dick,1,7.4,430
433,Dots,1,6.1,431
434,The Grapes of Wrath,9,8.1,432
435,The Letter,9,7.7,433
436,The Mark of Zorro,2,7.6,434
437,Strike Up the Band,0,7.0,435
438,High Sierra,1,7.6,436
439,Four Daughters,7,7.1,437
440,The Lady Vanishes,2,8.0,438
441,Love Finds Andy Hardy,1,6.8,439
442,Olympia Part Two: Festival of Beauty,1,8.0,440
443,The Beachcomber,1,7.0,441
444,The Story of Vernon and Irene Castle,0,7.0,442
445,The Women,1,8.0,443
446,Road to Zanzibar,1,7.2,444
447,The Good Earth,3,7.9,445
448,The Prince and the Pauper,0,7.3,446
449,Carefree,0,7.2,447
450,Olympia Part One: Festival of the Nations,2,8.1,448
451,Too Much Johnson,1,6.3,449
452,White Banners,0,7.1,450
453,Down Argentine Way,4,6.7,451
454,Blood and Sand,0,7.0,452
455,The Blood of Jesus,1,5.4,453
456,Der zerbrochene Krug,0,6.7,454
457,Shall We Dance,0,7.6,455
458,The Spanish Earth,1,6.8,456
459,A Star Is Born,3,7.7,457
460,The Great Waltz,2,6.7,458
461,Test Pilot,0,7.0,459
462,Wuthering Heights,4,7.7,460
463,Zangiku monogatari,1,7.9,461
464,Arise My Love,0,7.0,462
465,The Biscuit Eater,1,7.1,463
466,Black Friday,1,6.3,464
467,Jud Sèè,0,5.2,465
468,Port of Shadows,4,7.6,466
469,The Four Feathers,0,7.6,467
470,The Roaring Twenties,1,7.9,468
471,The Rules of the Game,2,8.1,469
472,Traktoristy,1,7.0,470
473,Pinocchio,4,7.5,471
474,The Maltese Falcon,5,8.2,472
475,Penny Serenade,2,7.2,473
476,That Hamilton Woman,0,7.4,474
477,My Gal Sal,0,6.4,475
478,Across the Pacific,1,6.9,476
479,The Hard Way,2,7.2,477
480,Kate & Leopold,2,6.3,478
481,Thunder Rock,1,6.9,479
482,Wake Island,8,7.0,480
483,Holy Matrimony,5,7.2,481
484,Laura,2,8.1,482
485,National Velvet,3,7.4,483
486,And Then There Were None,1,7.6,484
487,The Bells of St. Mary's,4,7.5,485
488,Dead of Night,1,7.7,486
489,Domingo de carnaval,1,6.8,487
490,A Song to Remember,7,6.9,488
491,Devil in the Flesh,3,7.3,489
492,It's a Wonderful Life,12,8.6,490
493,Paisan,11,7.8,491
494,The Razor's Edge,3,7.5,492
495,Rome Open City,8,8.1,493
496,Joan of Arc,5,6.5,494
497,You Were Meant for Me,0,6.3,495
498,All the King's Men,15,7.6,496
499,It Happens Every Spring,0,7.0,497
500,The Quiet Duel,1,7.5,498
501,The Asphalt Jungle,11,7.9,499
502,Caged,4,7.8,500
503,Born Yesterday,5,7.7,501
504,Victims of Sin,0,7.6,502
505,Summer Interlude,0,7.7,503
506,The Greatest Show on Earth,7,6.7,504
507,The Major and the Minor,1,7.6,505
508,Mrs. Miniver,9,7.6,506
509,The Black Swan,0,7.0,507
510,This Above All,0,6.9,508
511,Desert Victory,2,6.8,509
